Order ID,Order Date,City,Customer Type,Meal Type,Cuisine,Restaurant,Items Ordered,Order Amount,Delivery Fee,Total Amount,Delivery Time (min),Payment Method,Customer Rating
FD-00075,2025-11-02 13:47:00,Makkah,Member,Lunch,American,Rice & Spice,2,57.04,14.5,73.24,49,E-Wallet,7.2
FD-00076,2025-09-25 18:05:00,Dammam,Normal,Dinner,Italian,Taste of Jeddah,8,404.27,11.37,419.13,39,E-Wallet,7.7
FD-00077,2025-08-08 15:11:00,Jeddah,Normal,Lunch,Saudi,Taste of Jeddah,1,20.57,11.3,31.89,45,E-Wallet,7.0
FD-00078,2025-07-30 18:31:00,Makkah,Member,Dinner,Italian,Urban Bites,6,140.92,5.59,150.31,44,Credit Card,8.1
FD-00079,2025-07-16 22:37:00,Jeddah,Member,Dinner,Italian,Urban Bites,1,40.82,5.14,36.96,33,Cash,8.1
FD-00080,2025-02-17 12:14:00,Jeddah,Normal,Lunch,American,Taste of Jeddah,2,94.45,13.0,116.14,40,Credit Card,7.7
FD-00081,2025-06-30 15:44:00,Khobar,Member,Lunch,Italian,Wok Express,5,169.22,12.61,185.64,31,Credit Card,9.4
FD-00082,2025-01-29 14:59:00,Jeddah,Member,Lunch,American,Urban Bites,7,259.85,7.72,270.73,52,Credit Card,7.4
FD-00083,2025-05-22 16:17:00,Riyadh,Normal,Snack,Italian,Rice & Spice,6,147.28,4.18,155.19,55,E-Wallet,7.4
FD-00084,2025-02-24 13:41:00,Riyadh,Member,Lunch,Healthy,Taste of Jeddah,5,169.95,12.88,185.5,51,Cash,9.0
FD-00085,2025-11-09 22:38:00,Dammam,Member,Dinner,Saudi,Pasta House,6,192.87,12.69,202.85,38,E-Wallet,7.9
FD-00086,2025-12-29 12:28:00,Dammam,Normal,Lunch,American,Family Grill,3,135.26,10.59,149.12,24,E-Wallet,9.1
FD-00087,2025-03-27 15:08:00,Dammam,Member,Lunch,Saudi,Rice & Spice,4,87.15,6.07,101.07,36,E-Wallet,8.2
FD-00088,2025-04-29 09:22:00,Dammam,Member,Breakfast,Asian,Green Bowl,5,63.94,13.87,73.98,32,Cash,9.5
FD-00089,2025-11-30 22:20:00,Dammam,Member,Dinner,Italian,Burger Hub,8,360.41,13.9,373.11,39,Cash,7.9
FD-00090,2025-02-07 17:15:00,Riyadh,Member,Snack,Asian,Green Bowl,8,120.75,6.16,124.92,25,Credit Card,9.4
FD-00091,2025-06-28 14:32:00,Jeddah,Member,Lunch,Saudi,Pasta House,7,239.95,8.47,244.21,39,E-Wallet,9.0
FD-00092,2025-11-14 18:50:00,Dammam,Normal,Snack,Asian,Pasta House,5,107.16,4.72,108.89,28,E-Wallet,9.1
FD-00093,2025-09-25 17:10:00,Dammam,Normal,Snack,American,Green Bowl,7,151.86,4.63,156.76,27,Credit Card,8.7
FD-00094,2025-01-06 22:45:00,Khobar,Normal,Dinner,Asian,Family Grill,2,114.59,7.49,128.51,26,Credit Card,9.1
FD-00095,2025-11-04 19:15:00,Dammam,Normal,Dinner,American,Najd Kitchen,2,60.81,4.07,73.41,37,E-Wallet,8.6
FD-00096,2025-06-03 22:34:00,Riyadh,Normal,Dinner,Saudi,Rice & Spice,2,72.82,11.72,83.45,49,Credit Card,7.4
FD-00097,2025-01-08 15:00:00,Dammam,Member,Lunch,Asian,Wok Express,8,270.48,14.69,288.25,35,E-Wallet,8.6
FD-00098,2025-08-11 18:59:00,Makkah,Member,Dinner,American,Family Grill,3,160.72,4.74,165.81,53,Credit Card,7.8
FD-00099,2025-08-06 12:37:00,Jeddah,Normal,Lunch,Asian,Daily Dish,8,410.7,5.44,414.58,32,E-Wallet,8.0
FD-00100,2025-06-01 10:52:00,Jeddah,Member,Breakfast,Healthy,Green Bowl,8,293.81,14.6,303.81,36,E-Wallet,7.6
FD-00101,2025-07-09 15:41:00,Riyadh,Normal,Lunch,American,Burger Hub,2,114.14,8.97,128.99,47,Credit Card,7.9
FD-00102,2025-07-09 18:58:00,Dammam,Normal,Snack,American,Rice & Spice,6,187.12,10.1,195.62,46,Credit Card,8.6
FD-00103,2025-05-11 14:19:00,Jeddah,Member,Lunch,Saudi,Urban Bites,7,206.46,9.58,214.2,41,Cash,8.5
FD-00104,2025-02-22 18:44:00,Dammam,Member,Dinner,American,Taste of Jeddah,2,39.89,12.11,52.27,44,Cash,10.0
FD-00105,2025-01-05 20:57:00,Khobar,Member,Dinner,American,Wok Express,3,119.08,8.41,124.13,42,Credit Card,8.6
FD-00106,2025-01-02 22:22:00,Khobar,Normal,Dinner,Asian,Green Bowl,4,121.53,8.31,131.5,50,Credit Card,8.1
FD-00107,2025-09-04 16:25:00,Makkah,Member,Snack,American,Urban Bites,5,75.18,6.51,74.04,23,Credit Card,10.0
FD-00108,2025-04-08 20:42:00,Khobar,Member,Dinner,Italian,Wok Express,8,439.92,6.79,445.57,47,E-Wallet,6.6
FD-00109,2025-08-27 20:31:00,Jeddah,Normal,Dinner,American,Green Bowl,3,70.95,12.21,76.36,28,E-Wallet,7.7
FD-00110,2025-06-14 08:42:00,Dammam,Normal,Breakfast,Asian,Urban Bites,1,31.64,15.0,48.37,28,Cash,9.3
FD-00111,2025-04-16 15:19:00,Jeddah,Normal,Lunch,Healthy,Rice & Spice,7,108.62,4.54,119.42,37,E-Wallet,7.5
FD-00112,2025-10-06 18:14:00,Makkah,Member,Snack,Asian,Najd Kitchen,7,182.51,5.52,188.33,47,E-Wallet,8.4
FD-00113,2025-05-30 20:05:00,Khobar,Member,Dinner,Saudi,Daily Dish,7,149.74,4.16,154.68,44,Credit Card,7.6
FD-00114,2025-07-14 18:02:00,Makkah,Member,Dinner,Italian,Wok Express,6,186.65,11.7,201.37,26,E-Wallet,9.3
FD-00115,2025-05-05 15:08:00,Makkah,Normal,Lunch,Asian,Burger Hub,1,48.86,6.78,56.55,48,E-Wallet,6.3
FD-00116,2025-07-29 14:24:00,Khobar,Normal,Lunch,Saudi,Pasta House,5,160.93,14.17,170.61,34,E-Wallet,9.3
FD-00117,2025-11-27 09:45:00,Dammam,Member,Breakfast,Healthy,Green Bowl,7,255.15,11.91,266.41,16,Credit Card,9.8
FD-00118,2025-04-01 19:12:00,Khobar,Member,Dinner,Saudi,Rice & Spice,4,71.87,4.74,85.5,24,Credit Card,9.1
FD-00119,2025-08-29 07:35:00,Makkah,Member,Breakfast,Saudi,Family Grill,1,22.51,7.74,27.61,44,Credit Card,9.2
FD-00120,2025-02-20 19:15:00,Riyadh,Member,Dinner,American,Burger Hub,6,250.47,8.71,257.09,43,Credit Card,7.9
FD-00121,2025-04-13 10:17:00,Riyadh,Member,Breakfast,Italian,Daily Dish,7,177.39,11.28,188.54,28,E-Wallet,8.6
FD-00122,2025-08-16 17:39:00,Makkah,Normal,Snack,Asian,Rice & Spice,1,29.64,10.14,37.36,15,Cash,8.8
FD-00123,2025-08-16 13:50:00,Jeddah,Member,Lunch,American,Urban Bites,2,102.46,10.95,112.66,29,E-Wallet,8.6
FD-00124,2025-10-09 21:32:00,Riyadh,Normal,Dinner,Saudi,Rice & Spice,2,93.97,6.29,101.74,31,E-Wallet,8.2
FD-00125,2025-03-31 08:40:00,Dammam,Member,Breakfast,Healthy,Taste of Jeddah,6,108.66,4.31,114.13,30,Credit Card,7.0
FD-00126,2025-03-15 22:13:00,Khobar,Member,Dinner,Italian,Burger Hub,1,55.16,13.96,74.64,25,Credit Card,10.0
FD-00127,2025-03-30 22:27:00,Makkah,Normal,Dinner,Saudi,Green Bowl,2,71.24,12.72,87.07,45,E-Wallet,7.4
FD-00128,2025-11-26 17:15:00,Makkah,Member,Snack,Asian,Rice & Spice,7,228.05,10.99,237.29,31,Credit Card,9.4
FD-00129,2025-10-09 19:06:00,Jeddah,Member,Dinner,Italian,Taste of Jeddah,4,94.6,10.3,103.59,15,E-Wallet,9.3
FD-00130,2025-12-11 19:51:00,Jeddah,Member,Dinner,Italian,Green Bowl,3,123.15,12.81,127.0,44,Cash,8.3
FD-00131,2025-07-07 12:54:00,Khobar,Member,Lunch,Saudi,Urban Bites,2,36.06,8.74,36.45,33,Credit Card,8.6
FD-00132,2025-01-03 10:45:00,Dammam,Normal,Breakfast,Asian,Daily Dish,7,167.74,14.06,177.35,42,E-Wallet,8.9
FD-00133,2025-12-11 18:35:00,Jeddah,Normal,Dinner,Italian,Najd Kitchen,6,156.84,6.62,157.44,31,E-Wallet,8.6
FD-00134,2025-06-23 18:00:00,Dammam,Normal,Dinner,American,Taste of Jeddah,7,287.5,12.94,300.08,32,Cash,8.8
FD-00135,2025-11-18 08:04:00,Dammam,Member,Breakfast,American,Najd Kitchen,3,118.49,5.3,133.56,43,Cash,7.9
FD-00136,2025-02-04 19:23:00,Dammam,Member,Dinner,Asian,Urban Bites,6,141.18,7.37,146.33,53,E-Wallet,7.8
FD-00137,2025-04-22 18:48:00,Makkah,Normal,Dinner,Asian,Pasta House,1,52.57,13.84,78.05,30,E-Wallet,7.9
FD-00138,2025-08-20 07:17:00,Jeddah,Normal,Breakfast,Asian,Daily Dish,8,105.64,9.22,111.88,19,Credit Card,8.6
FD-00139,2025-06-24 07:37:00,Dammam,Member,Breakfast,American,Burger Hub,7,126.41,10.15,134.53,38,E-Wallet,8.8
FD-00140,2025-10-07 07:04:00,Riyadh,Member,Breakfast,Italian,Pasta House,2,81.26,4.63,83.91,35,E-Wallet,8.5
FD-00141,2025-02-24 19:03:00,Jeddah,Member,Dinner,Healthy,Wok Express,6,113.2,7.71,116.05,39,E-Wallet,8.8
FD-00142,2025-04-12 15:57:00,Khobar,Normal,Lunch,Saudi,Rice & Spice,4,118.96,13.89,129.42,39,Credit Card,9.3
FD-00143,2025-11-30 07:14:00,Riyadh,Normal,Breakfast,Healthy,Green Bowl,4,100.48,7.97,106.29,26,E-Wallet,8.9
FD-00144,2025-01-22 22:11:00,Riyadh,Member,Dinner,Asian,Najd Kitchen,1,29.18,11.65,46.97,38,Cash,8.8
FD-00145,2025-01-21 18:42:00,Makkah,Member,Snack,Healthy,Family Grill,2,51.79,14.76,68.18,36,E-Wallet,8.8
FD-00146,2025-11-22 09:06:00,Makkah,Member,Breakfast,Saudi,Wok Express,8,212.66,8.97,223.93,35,E-Wallet,8.4
FD-00147,2025-01-13 22:19:00,Khobar,Member,Dinner,Saudi,Rice & Spice,5,91.06,12.44,107.55,30,Credit Card,8.5
FD-00148,2025-09-23 09:23:00,Riyadh,Normal,Breakfast,Saudi,Daily Dish,5,127.29,8.65,137.51,58,E-Wallet,8.7
FD-00149,2025-07-30 19:56:00,Riyadh,Member,Dinner,Asian,Burger Hub,8,280.99,5.82,291.84,34,E-Wallet,8.3
FD-00150,2025-07-29 17:24:00,Riyadh,Member,Snack,Italian,Family Grill,7,103.85,14.65,116.57,35,Cash,8.1
FD-00151,2025-08-07 07:40:00,Riyadh,Member,Breakfast,Saudi,Rice & Spice,2,58.14,6.76,66.92,53,Credit Card,8.4
FD-00152,2025-12-10 22:14:00,Jeddah,Normal,Dinner,Italian,Rice & Spice,5,223.46,9.79,239.47,41,Cash,8.6
FD-00153,2025-06-23 09:17:00,Riyadh,Member,Breakfast,Healthy,Green Bowl,6,115.01,14.22,123.29,27,Cash,9.3
FD-00154,2025-07-01 14:48:00,Dammam,Member,Lunch,American,Urban Bites,1,29.16,13.93,41.95,25,E-Wallet,8.9
FD-00155,2025-11-18 18:06:00,Makkah,Member,Dinner,Asian,Family Grill,8,126.61,13.23,143.44,49,E-Wallet,9.1
FD-00156,2025-02-18 19:22:00,Makkah,Normal,Dinner,Healthy,Najd Kitchen,4,82.86,10.06,89.37,41,Credit Card,8.1
FD-00157,2025-06-22 08:14:00,Riyadh,Member,Breakfast,Italian,Urban Bites,8,210.07,13.82,229.89,38,E-Wallet,8.6
FD-00158,2025-07-30 12:00:00,Khobar,Normal,Lunch,Saudi,Urban Bites,1,24.75,4.0,27.53,42,Cash,8.0
FD-00159,2025-11-06 18:09:00,Dammam,Member,Snack,American,Najd Kitchen,5,101.58,7.13,110.45,27,E-Wallet,9.3
FD-00160,2025-11-19 08:50:00,Riyadh,Normal,Breakfast,Saudi,Pasta House,6,244.15,12.42,258.89,15,E-Wallet,10.0
FD-00161,2025-01-20 18:33:00,Jeddah,Member,Snack,American,Taste of Jeddah,1,24.11,9.59,36.62,26,E-Wallet,8.7
FD-00162,2025-12-17 22:43:00,Makkah,Member,Dinner,American,Burger Hub,2,110.45,8.84,118.91,44,E-Wallet,7.6
FD-00163,2025-08-12 18:09:00,Jeddah,Member,Dinner,American,Rice & Spice,2,115.83,10.29,121.16,51,Credit Card,6.8
FD-00164,2025-11-09 09:10:00,Makkah,Normal,Breakfast,Italian,Taste of Jeddah,8,142.69,7.89,158.47,36,Cash,8.8
FD-00165,2025-04-01 16:57:00,Riyadh,Normal,Snack,American,Najd Kitchen,6,86.97,11.12,100.24,31,E-Wallet,8.4
FD-00166,2025-05-19 19:14:00,Makkah,Member,Dinner,Healthy,Family Grill,1,18.61,6.77,18.12,19,Cash,9.4
FD-00167,2025-09-21 13:29:00,Riyadh,Member,Lunch,Italian,Wok Express,2,78.08,6.35,89.21,46,Credit Card,9.1
FD-00168,2025-08-31 22:41:00,Khobar,Member,Dinner,Healthy,Green Bowl,3,148.29,12.85,168.46,36,E-Wallet,9.9
FD-00169,2025-03-09 10:22:00,Riyadh,Member,Breakfast,Healthy,Daily Dish,4,66.63,4.22,75.6,49,Cash,7.8
FD-00170,2025-06-21 14:18:00,Riyadh,Normal,Lunch,Saudi,Rice & Spice,7,347.74,9.6,357.76,31,Cash,8.0
FD-00171,2025-01-25 15:36:00,Jeddah,Normal,Lunch,American,Daily Dish,4,134.82,11.84,149.95,51,Credit Card,8.0
FD-00172,2025-10-24 22:53:00,Makkah,Normal,Dinner,Italian,Burger Hub,7,266.26,10.09,275.5,45,Cash,6.9
FD-00173,2025-04-17 10:00:00,Khobar,Member,Breakfast,Italian,Pasta House,4,78.96,9.69,90.99,43,Cash,6.7
FD-00174,2025-01-06 21:46:00,Riyadh,Member,Dinner,Asian,Green Bowl,3,121.31,8.44,124.89,41,E-Wallet,8.1
FD-00175,2025-02-24 19:26:00,Jeddah,Member,Dinner,Saudi,Green Bowl,7,271.28,10.52,281.14,54,Credit Card,6.9
FD-00176,2025-03-06 14:31:00,Riyadh,Normal,Lunch,Asian,Taste of Jeddah,3,57.52,11.61,62.41,19,Cash,9.9
FD-00177,2025-08-05 22:30:00,Riyadh,Member,Dinner,Healthy,Family Grill,4,131.01,9.76,140.05,43,Cash,8.2
FD-00178,2025-08-20 14:35:00,Khobar,Member,Lunch,Saudi,Wok Express,1,19.9,13.22,24.84,35,Cash,8.5
FD-00179,2025-06-12 16:58:00,Dammam,Member,Snack,Italian,Burger Hub,4,49.52,11.86,62.9,29,Credit Card,8.9
FD-00180,2025-07-23 22:22:00,Dammam,Member,Dinner,Italian,Pasta House,2,93.23,11.81,101.74,31,E-Wallet,8.2
FD-00181,2025-12-06 16:07:00,Riyadh,Normal,Snack,Italian,Urban Bites,4,131.3,9.84,142.54,18,E-Wallet,9.8
FD-00182,2025-06-23 14:04:00,Khobar,Member,Lunch,Asian,Wok Express,8,331.67,12.23,341.93,42,Credit Card,6.8
FD-00183,2025-01-18 07:29:00,Khobar,Member,Breakfast,Saudi,Daily Dish,2,81.01,3.81,81.74,41,Credit Card,7.7
FD-00184,2025-05-14 22:11:00,Khobar,Member,Dinner,Saudi,Daily Dish,1,43.63,9.92,56.31,37,E-Wallet,7.8
FD-00185,2025-06-30 14:47:00,Makkah,Member,Lunch,Healthy,Rice & Spice,1,22.7,14.19,36.21,28,E-Wallet,8.6
FD-00186,2025-01-03 21:18:00,Jeddah,Normal,Dinner,Italian,Rice & Spice,1,56.16,5.58,64.28,43,E-Wallet,6.6
FD-00187,2025-01-23 15:09:00,Riyadh,Member,Lunch,Asian,Rice & Spice,8,211.27,10.19,227.73,42,Cash,6.9
FD-00188,2025-01-03 10:30:00,Jeddah,Normal,Breakfast,Saudi,Green Bowl,4,56.74,11.79,63.69,32,E-Wallet,9.5
FD-00189,2025-12-09 13:36:00,Khobar,Member,Lunch,American,Green Bowl,4,209.65,11.54,230.38,36,Cash,8.5
FD-00190,2025-10-05 14:20:00,Riyadh,Normal,Lunch,Healthy,Burger Hub,5,90.81,13.51,97.22,22,Credit Card,8.8
FD-00191,2025-04-25 07:48:00,Dammam,Normal,Breakfast,Italian,Family Grill,8,206.92,14.11,228.07,26,Cash,8.5
FD-00192,2025-05-26 21:58:00,Khobar,Member,Dinner,Asian,Family Grill,6,133.84,5.34,138.52,40,E-Wallet,6.4
FD-00193,2025-01-11 18:29:00,Khobar,Member,Dinner,Asian,Rice & Spice,2,65.19,12.11,74.91,23,E-Wallet,9.2
FD-00194,2025-08-16 07:29:00,Jeddah,Normal,Breakfast,Healthy,Green Bowl,5,129.5,11.38,138.49,41,Credit Card,7.6
FD-00195,2025-06-13 13:21:00,Riyadh,Normal,Lunch,Healthy,Rice & Spice,1,41.26,12.93,60.91,27,E-Wallet,9.6
FD-00196,2025-06-07 22:56:00,Khobar,Normal,Dinner,Saudi,Rice & Spice,7,303.72,9.12,313.56,47,Cash,7.9
FD-00197,2025-11-21 19:53:00,Dammam,Member,Dinner,Asian,Burger Hub,4,205.24,4.43,203.45,43,Credit Card,7.6
